          12
 6                               -2.0764906999999999E-002  -8.8610443999999997E-002  -2.9522779999999998E-002
 8                                4.2114750000000001E-003   1.3013599000000001E-002   1.3731214000000000E-002
 1                                1.9372190000000000E-003   1.8879330999999999E-002   1.3172900000000000E-003
 1                                6.3078750000000001E-003   1.6782297000000002E-002   1.8398880000000000E-003
 1                               -1.3963980000000001E-003   2.8804900000000002E-004  -5.7533000000000000E-005
 6                                2.2460269000000001E-002   9.5533226999999998E-002   3.4084070000000001E-002
 6                               -5.1337320000000002E-003  -2.0645456999999999E-002  -1.2728270999999999E-002
 1                               -3.5626759999999999E-003  -1.9862089999999999E-002  -3.6088250000000000E-003
 1                               -5.2920210000000001E-003  -1.9710264000000002E-002  -3.9583700000000001E-003
 1                                3.4865500000000002E-004   7.8481199999999997E-004   2.2889199999999999E-004
 1                                7.3421599999999999E-004   2.9551450000000002E-003  -1.9041320000000000E-003
 1                                1.5002400000000001E-004   5.9179399999999998E-004   5.7855700000000005E-004
