          30
 BABS3                           -3.0000000000000001E-005
 BABS2                           -3.0000000000000001E-005
 AABS2                            1.3999999999999999E-004
 BABS1                           -1.0000000000000000E-004
 AABS1                           -1.4999999999999999E-004
 A3                               4.7600000000000003E-003
 A4                              -7.6999999999999996E-004
 D3                              -3.3230000000000003E-002
 D4                               3.8999999999999999E-004
 R21                             -1.1520000000000001E-002
 R22                              3.6000000000000002E-004
 R23                             -2.4000000000000001E-004
 R24                             -4.6000000000000001E-004
 R25                              1.7400000000000000E-003
 R26                             -1.4999999999999999E-004
 A22                              1.6999999999999999E-003
 A23                              3.4099999999999998E-003
 A24                              6.6000000000000000E-004
 A25                             -6.5199999999999998E-003
 A26                              1.2199999999999999E-003
 D23                              3.6299999999999999E-002
 D25                              2.4000000000000001E-004
 D26                             -1.1100000000000001E-003
 D24                              4.4999999999999999E-004
 A2                               4.2800000000000000E-003
 R4                               1.3400000000000000E-003
 R3                              -7.2999999999999996E-004
 R2                              -1.0499999999999999E-003
 R1                              -1.3670000000000000E-002
 RTS                              4.2750000000000003E-002
