          18
 X1                              -9.0000000000000006E-005
 Y1                               1.2000000000000000E-004
 Z1                               4.0000000000000003E-005
 X2                               4.0000000000000003E-005
 Y2                               0.0000000000000000     
 Z2                               1.0000000000000001E-005
 X3                               1.0000000000000001E-005
 Y3                              -0.0000000000000000     
 Z3                               0.0000000000000000     
 X4                               4.0000000000000003E-005
 Y4                              -1.0000000000000001E-005
 Z4                               1.0000000000000001E-005
 X5                               3.0000000000000001E-005
 Y5                              -9.0000000000000006E-005
 Z5                              -1.3999999999999999E-004
 X6                              -2.0000000000000002E-005
 Y6                              -2.0000000000000002E-005
 Z6                               2.0000000000000002E-005
