 step pow(k_ome[step],-0.25) t[step]      t_dev[step]      a[step]         K[step]        mueff_mu1[step]  mueff_mu[step]
0	1.160508e-07	2.942198e-01	-3.789735e-01	8.338621e-02	2.834147e-01	-3.010476e-02	1.768829e+03
1	1.111743e-07	2.820737e-01	-4.154589e-01	8.006707e-02	2.838516e-01	6.061266e-03	1.822888e+03
2	1.043870e-07	2.675847e-01	4.945195e-01	7.752940e-02	2.897378e-01	8.347996e-02	1.822888e+03
3	9.546109e-08	2.500810e-01	5.000000e-01	7.567708e-02	3.026103e-01	9.291882e-02	1.822888e+03
4	8.460605e-08	2.308280e-01	5.000000e-01	7.575965e-02	3.282082e-01	9.274117e-02	1.822888e+03
5	7.194874e-08	2.129490e-01	3.255296e-01	8.225369e-02	3.862601e-01	-6.530355e-02	1.719397e+03
6	7.591546e-08	2.098770e-01	4.992160e-02	7.073097e-02	3.370114e-01	-1.439726e-01	1.737735e+03
7	8.129201e-08	2.076718e-01	5.064467e-02	5.976023e-02	2.877628e-01	-1.205269e-01	1.615905e+03
8	8.935087e-08	2.078109e-01	5.920578e-02	4.956583e-02	2.385141e-01	-9.808311e-02	1.652582e+03
9	1.042077e-07	2.158976e-01	-5.000000e-01	4.086196e-02	1.892655e-01	1.666064e-01	1.822888e+03
10	1.674842e-07	2.984534e-01	-5.000000e-01	4.178850e-02	1.400168e-01	1.646767e-01	1.822888e+03
11	1.422287e-07	2.643994e-01	5.000000e-01	4.028863e-02	1.523779e-01	1.677996e-01	1.822888e+03
12	1.289514e-07	2.492508e-01	3.260086e-01	4.106132e-02	1.647390e-01	2.247290e-02	1.822888e+03
13	1.202070e-07	2.409081e-01	1.955862e-01	4.266483e-02	1.771000e-01	-4.889597e-02	1.735901e+03
14	1.138014e-07	2.358957e-01	2.224133e-01	4.469306e-02	1.894611e-01	-4.191591e-02	1.822888e+03
15	1.088053e-07	2.327807e-01	-5.000000e-01	4.698031e-02	2.018222e-01	1.538322e-01	1.761954e+03
16	1.371013e-07	2.697721e-01	-5.000000e-01	4.605570e-02	1.707208e-01	1.557675e-01	1.822888e+03
17	1.515356e-07	2.887375e-01	-2.743376e-01	4.622269e-02	1.600855e-01	-1.932083e-02	1.788007e+03
18	1.548422e-07	2.894415e-01	1.109822e-01	4.459425e-02	1.540700e-01	-7.886010e-02	1.684657e+03
19	1.550572e-07	2.846255e-01	-1.541546e-01	4.228756e-02	1.485726e-01	-6.259972e-02	1.712275e+03
20	1.554138e-07	2.795602e-01	-1.580433e-01	3.988612e-02	1.426745e-01	-5.638547e-02	1.722948e+03
