step=0

-0.256523	0.202558	-0.001270	-0.000360	-0.000304	0.000013	-0.000260	-0.427882	0.020292	0.002293	-0.008175	-0.134562	-0.000495	-0.014562	-0.004003	0.002000	0.017334	-0.267000	0.124151	0.775646	-0.051264	
0.004259	-0.003348	0.004698	0.003032	-0.010463	0.005279	0.011528	0.006884	-0.001370	0.150310	-0.485669	0.002897	-0.030273	0.001169	-0.241560	-0.517407	-0.031979	0.018978	0.012464	-0.035981	-0.641351	
0.000440	-0.001004	-0.200880	-0.114602	0.604754	-0.222197	-0.323012	0.000227	0.000011	0.014243	-0.016471	-0.000081	-0.002498	0.000225	-0.106397	0.045083	0.005020	0.608544	0.019581	0.206067	0.006705	
-0.204544	-0.254516	0.001844	-0.001843	0.000694	0.000438	0.000197	0.427926	-0.027655	-0.007252	0.001118	-0.132588	-0.003856	0.182743	0.005974	0.008012	-0.195310	-0.050398	0.781861	0.078762	0.012302	
0.003319	0.004074	-0.011528	0.013261	0.032756	0.015997	-0.017945	-0.007128	-0.004364	-0.440442	0.075524	0.002143	-0.250499	-0.003818	0.342179	0.451993	0.027579	0.019898	0.016815	-0.039785	-0.641151	
0.000930	0.001868	0.156796	-0.169505	-0.598715	-0.230084	0.316485	-0.000094	-0.000478	-0.032579	-0.000796	-0.000090	-0.096736	0.000266	-0.090917	0.056427	0.005675	0.608597	0.019760	0.205886	0.006720	
0.444558	-0.356192	-0.472421	-0.353398	-0.218027	0.268241	-0.171845	0.113398	-0.018329	0.002286	0.008035	0.230609	-0.001103	-0.035176	-0.002728	-0.000018	0.028762	-0.104058	-0.045100	0.310660	-0.022684	
-0.000105	-0.000095	0.000487	0.000441	0.007974	-0.013876	0.005442	-0.018121	-0.466969	-0.008210	0.609333	-0.043220	-0.012272	-0.399775	-0.154212	-0.249539	-0.357290	0.006291	-0.002935	-0.008124	-0.185232	
-0.277431	0.221010	0.280312	0.206980	-0.144947	0.392716	-0.407281	0.380256	-0.038900	0.008185	0.011007	0.431557	-0.004682	-0.049860	-0.033296	0.012099	0.040226	0.132817	-0.126641	0.199862	-0.010830	
0.441450	-0.351838	0.476901	0.354597	0.218221	-0.268690	0.172109	0.113608	-0.002914	-0.002398	0.012776	0.231732	0.000633	-0.021959	-0.002389	-0.000681	0.040137	-0.104088	-0.044899	0.310599	-0.022706	
-0.014608	0.011821	-0.015401	-0.011380	0.000817	-0.005285	-0.000078	0.014957	0.473962	-0.019970	0.604370	0.033909	-0.011553	0.400656	-0.152537	-0.289229	0.323968	0.004482	0.009085	-0.011793	-0.186548	
0.275757	-0.218527	0.283266	0.207860	-0.145109	0.392841	-0.407985	-0.379479	0.039555	0.007101	0.009834	-0.431361	-0.004536	0.050138	-0.033215	0.007545	-0.037691	0.219869	0.137887	-0.080321	0.014708	
0.349443	0.438305	-0.349098	0.482829	-0.217288	-0.268914	-0.176705	-0.114108	0.008704	0.014743	0.000474	0.233291	0.001199	0.054663	0.002663	0.004217	-0.102645	0.012172	0.307388	-0.063053	0.011447	
-0.022301	-0.027680	0.022572	-0.030362	-0.017924	-0.022823	-0.006103	0.018097	0.531545	0.603126	0.097992	0.019480	0.056250	-0.328874	0.124774	0.270383	-0.324646	0.006783	-0.000588	-0.010168	-0.185126	
0.219567	0.273716	-0.208768	0.284991	0.142077	0.386947	0.412623	0.381442	0.026937	0.038609	0.007942	-0.431206	-0.016042	-0.035760	-0.025731	0.028106	0.041104	0.132943	-0.126230	0.199440	-0.010794	
0.355103	0.448137	0.342580	-0.476416	0.216466	0.267757	0.176129	-0.115340	-0.008708	0.005400	0.003694	0.232841	0.000883	0.065534	0.001670	0.003560	-0.091352	0.012144	0.307592	-0.063119	0.011425	
0.010860	0.013417	0.010767	-0.014116	-0.025190	-0.031470	-0.012087	-0.014047	-0.516150	0.614797	0.104258	-0.027709	0.057584	0.327490	0.126060	0.230750	0.355790	0.004976	0.011417	-0.013833	-0.186441	
-0.222621	-0.279198	-0.204363	0.280540	0.141775	0.386313	0.411632	-0.382662	-0.025852	0.039340	0.009830	0.431647	-0.015884	0.035986	-0.025640	0.023597	-0.036716	0.219891	0.137979	-0.080405	0.014713	
0.000414	0.000875	0.000055	-0.000013	-0.000721	0.000049	0.000530	0.002291	0.046654	-0.002917	-0.000632	-0.006639	0.013400	-0.643390	-0.006018	-0.041624	0.683483	0.012814	0.329613	-0.076104	0.010725	
0.000006	0.000030	0.005143	-0.000803	-0.042603	0.000038	0.034966	-0.000044	-0.002604	-0.188607	-0.000700	0.000149	0.878826	0.009643	-0.291282	0.263357	0.003564	0.005925	0.005244	-0.011980	-0.185756	
0.000001	0.000017	0.001671	-0.000024	-0.014636	0.001833	0.013532	-0.000017	-0.000126	-0.029967	0.020967	-0.000047	0.383561	-0.002198	0.798737	-0.421618	-0.023718	0.174362	-0.001087	0.066521	0.001389	

step=1

-0.257373	0.201519	-0.001275	-0.000349	-0.000300	0.000013	-0.000260	-0.427716	0.021737	0.002144	-0.008229	-0.134555	-0.000347	-0.014390	-0.003978	0.045991	-0.378747	-0.444892	-0.366715	-0.228199	0.401604	
0.004272	-0.003330	0.004660	0.002989	-0.010086	0.005226	0.011827	0.006897	-0.001281	0.139399	-0.489063	0.002899	-0.021389	0.001118	-0.240682	0.045032	-0.356508	-0.109730	0.180858	0.705790	0.102942	
0.000443	-0.001003	-0.201474	-0.113127	0.603434	-0.221928	-0.325679	0.000235	0.000036	0.013784	-0.017052	-0.000080	0.003551	0.000191	-0.106677	-0.003993	0.032777	-0.015124	-0.508915	0.163795	-0.357970	
-0.203490	-0.255393	0.001846	-0.001881	0.000712	0.000447	0.000188	0.427720	-0.029781	-0.007140	0.001297	-0.132532	-0.004115	0.183714	0.005818	-0.206129	0.312401	-0.716548	0.048643	0.045558	0.011935	
0.003295	0.004077	-0.011988	0.014036	0.033814	0.016728	-0.018635	-0.007171	-0.004700	-0.434883	0.085017	0.002064	-0.264570	-0.003804	0.335029	-0.036669	0.311373	0.166202	-0.241969	0.425831	0.503363	
0.000939	0.001894	0.155194	-0.170603	-0.597114	-0.230360	0.318603	-0.000104	-0.000514	-0.033521	-0.000293	-0.000094	-0.097403	0.000229	-0.093525	-0.004907	0.040004	-0.012239	-0.513337	0.160867	-0.353782	
0.446047	-0.354359	-0.475129	-0.349813	-0.218633	0.268320	-0.170811	0.113341	-0.019057	0.002569	0.007822	0.230534	-0.001031	-0.035216	-0.002774	0.042127	-0.195110	-0.095496	-0.157396	-0.099826	0.164345	
-0.000139	-0.000100	0.000517	0.000455	0.008021	-0.013834	0.004821	-0.018614	-0.464917	0.004654	0.609166	-0.044834	-0.008331	-0.400839	-0.154606	-0.317669	-0.220735	-0.068792	0.109117	0.242110	-0.023942	
-0.278318	0.219823	0.281875	0.204845	-0.146804	0.392969	-0.406363	0.380181	-0.040704	0.008647	0.010378	0.431490	-0.003058	-0.049985	-0.033547	0.045892	-0.129781	0.050191	-0.230928	-0.007527	-0.025460	
0.442918	-0.350017	0.479625	0.350975	0.218830	-0.268768	0.171060	0.113564	-0.003712	-0.002324	0.012963	0.231712	0.000695	-0.021965	-0.002343	0.053505	-0.193935	-0.095396	-0.157551	-0.099929	0.164494	
-0.014620	0.011764	-0.015460	-0.011241	0.000852	-0.005209	-0.000645	0.015446	0.471959	-0.008116	0.604443	0.035587	-0.007742	0.401655	-0.153121	0.363776	-0.150412	-0.062771	0.099854	0.235925	-0.015018	
