BkF:
0	3.767535e-03	4.918270e-03	7.543880e-02	-2.655936e-02	8.162264e-02	7.922917e-03	-7.181059e-02	4.059381e-04	3.023988e-03	2.484706e-01	-1.610361e-02	-9.802178e-05	0.000000e+00	-1.000991e-03	
1	4.121553e-03	5.533090e-03	9.179509e-02	-3.316119e-02	8.157448e-02	6.831091e-03	-7.447094e-02	3.786901e-04	3.083913e-03	2.415048e-01	-2.038550e-02	2.564301e-05	0.000000e+00	-1.165872e-03	
2	4.561449e-03	6.279342e-03	1.147016e-01	-4.210190e-02	8.126542e-02	5.941975e-03	-7.738699e-02	3.384990e-04	3.108952e-03	2.361600e-01	-2.339128e-02	1.266347e-04	0.000000e+00	-1.458452e-03	
3	5.161149e-03	7.277578e-03	1.491448e-01	-5.557549e-02	7.930198e-02	5.347203e-03	-7.980754e-02	3.139833e-04	3.130142e-03	2.298111e-01	-2.543838e-02	1.926762e-04	0.000000e+00	-1.937642e-03	
4	5.857917e-03	8.623034e-03	2.024315e-01	-7.705140e-02	7.301279e-02	4.983813e-03	-8.052499e-02	3.291176e-04	3.138542e-03	2.193996e-01	-2.651468e-02	1.971691e-04	0.000000e+00	-2.706915e-03	
5	6.741920e-03	1.036145e-02	2.915177e-01	-1.143323e-01	5.702753e-02	4.474059e-03	-7.758275e-02	4.076488e-04	3.233955e-03	2.024252e-01	-2.637906e-02	1.285747e-04	0.000000e+00	-3.986544e-03	
6	7.893803e-03	1.300812e-02	4.560822e-01	-1.875517e-01	1.955115e-02	3.070266e-03	-6.729519e-02	5.748005e-04	3.778827e-03	1.768965e-01	-2.476565e-02	-3.436049e-05	0.000000e+00	-6.344089e-03	
7	8.081543e-03	1.572971e-02	8.110700e-01	-3.489424e-01	-7.486237e-02	-8.639013e-04	-3.824567e-02	1.113803e-03	6.785939e-03	1.353656e-01	-2.140502e-02	-3.698454e-04	0.000000e+00	-1.169635e-02	
8	-4.782732e-02	-5.232478e-02	1.747270e+00	-7.579891e-01	-3.872126e-01	-1.190319e-02	7.318187e-02	4.899094e-03	3.157719e-02	2.047861e-02	-1.638130e-02	-1.752996e-03	0.000000e+00	-2.859277e-02	
9	-5.391438e-02	-6.168651e-02	2.070954e+00	-1.040947e+00	-9.169609e-01	-3.756659e-02	3.767455e-01	6.008790e-03	3.126183e-02	-3.336944e-01	3.785410e-02	-2.542222e-03	0.000000e+00	-3.202202e-02	
10	8.685063e-05	2.197611e-04	1.575127e-02	-1.087322e-02	-7.445591e-02	-4.462843e-03	5.903569e-02	-1.937343e-04	-1.873415e-03	-9.946419e-02	1.628783e-02	-8.885088e-05	0.000000e+00	5.248418e-03	
11	6.342607e-02	1.066962e-01	1.679870e+00	1.436670e+00	-7.803592e-01	-2.703810e-02	3.405663e-01	-2.510379e-03	6.244834e-03	-2.187724e-01	1.811418e-02	1.551658e-04	0.000000e+00	-1.976556e-02	
12	5.500004e-02	9.134224e-02	1.337399e+00	1.198600e+00	-3.026887e-01	-6.171109e-03	6.885625e-02	-5.136326e-04	1.462359e-02	3.949723e-02	-1.956929e-02	-2.759184e-05	0.000000e+00	-2.311086e-02	
13	2.098204e-03	6.460805e-03	4.560645e-01	4.110335e-01	-6.899644e-03	2.187900e-03	-4.572961e-02	-1.755521e-04	3.472226e-03	9.554210e-02	-1.884735e-02	0.000000e+00	1.101845e-04	-9.029302e-03	
14	2.599014e-04	1.796521e-03	1.909007e-01	1.876084e-01	6.803652e-02	4.169115e-03	-7.361370e-02	-1.347985e-05	1.624843e-03	1.009289e-01	-1.760514e-02	0.000000e+00	1.232365e-04	-4.702517e-03	
15	-3.958543e-05	5.405299e-04	8.315315e-02	9.213179e-02	9.440463e-02	5.019977e-03	-8.277571e-02	6.929469e-05	-7.561523e-04	9.629232e-02	-1.609445e-02	0.000000e+00	1.112625e-04	-2.846821e-03	
16	-8.823619e-05	9.110389e-05	3.146867e-02	4.352423e-02	1.043043e-01	5.524281e-03	-8.528381e-02	1.010601e-04	1.004733e-05	8.867140e-02	0.000000e+00	1.454474e-02	9.743882e-05	-1.874350e-03	
17	-5.505035e-05	-3.548186e-05	4.753270e-03	1.631462e-02	1.070138e-01	5.834997e-03	-8.479447e-02	1.138769e-04	9.173129e-04	8.055286e-02	0.000000e+00	-1.308952e-02	7.778219e-05	-1.245881e-03	
18	-3.752671e-06	-4.084969e-05	-9.874274e-03	-2.593877e-04	1.061149e-01	5.993108e-03	-8.284635e-02	1.112043e-04	0.000000e+00	2.278671e-03	7.304546e-02	-1.179354e-02	6.307940e-05	5.104520e-04	
19	5.427085e-05	1.212620e-05	-1.772880e-02	-1.057868e-02	1.031761e-01	6.022313e-03	-8.012106e-02	1.013884e-04	0.000000e+00	5.345734e-03	6.636308e-02	-1.067530e-02	4.779376e-05	2.006881e-04	
20	1.066146e-04	8.338083e-05	-2.192118e-02	-1.740769e-02	9.903261e-02	5.949682e-03	-7.693044e-02	8.454565e-05	0.000000e+00	2.514887e-02	5.553828e-02	-9.711670e-03	3.707361e-05	2.902945e-05	
