 Force constants in Cartesian coordinates: 
                1             2             3             4             5 
      1  0.649509E+00
      2 -0.896307E-02  0.114909E+00
      3 -0.237757E-03 -0.924661E-02  0.818708E+00
      4 -0.113731E+00  0.113421E-02  0.679026E-03  0.647901E+00
      5  0.113915E-02 -0.460790E-01  0.421678E-01 -0.970180E-02  0.658855E-01
      6  0.141938E-03  0.821741E-02 -0.519451E+00 -0.144892E-02 -0.800871E-01
      7 -0.272637E+00  0.540729E-03  0.127814E+00  0.448270E-02  0.657035E-03
      8 -0.705579E-04 -0.362397E-01  0.119657E-02  0.758695E-03  0.599780E-02
      9  0.123609E+00 -0.239613E-03 -0.131249E+00  0.296662E-01  0.465717E-03
     10 -0.272271E+00  0.737109E-02 -0.127622E+00  0.443815E-02 -0.607597E-03
     11  0.798027E-02 -0.365675E-01  0.549536E-02 -0.704863E-03  0.603131E-02
     12 -0.123467E+00  0.391890E-02 -0.131229E+00 -0.296337E-01  0.145758E-02
     13  0.431431E-02 -0.172610E-03  0.160444E-02 -0.269234E+00  0.209608E-01
     14 -0.374885E-03  0.454037E-02 -0.587800E-02  0.213668E-01 -0.320218E-01
     15 -0.297357E-01  0.247809E-02 -0.129782E-01 -0.122106E+00  0.140347E-01
     16  0.433570E-02  0.177650E-03 -0.179490E-02 -0.270546E+00 -0.129879E-01
     17  0.383395E-03  0.452017E-02 -0.583854E-02 -0.134075E-01 -0.307568E-01
     18  0.297983E-01  0.148171E-02 -0.129829E-01  0.122650E+00  0.999747E-02
     19  0.480314E-03 -0.879908E-04 -0.443251E-03 -0.331013E-02  0.540292E-03
     20 -0.942959E-04 -0.508319E-02 -0.278965E-01  0.554426E-03  0.309430E-01
     21 -0.108892E-03 -0.660988E-02 -0.108177E-01  0.193412E-03  0.119639E-01
                6             7             8             9            10 
      6  0.797018E+00
      7 -0.191086E-02  0.280847E+00
      8 -0.833336E-03 -0.486630E-03  0.225537E-01
      9 -0.129271E-01 -0.138595E+00 -0.229401E-03  0.137778E+00
     10  0.188184E-02 -0.151543E-01  0.724229E-03 -0.136164E-01  0.280475E+00
     11 -0.899747E-03 -0.955790E-04  0.376746E-02  0.793223E-04 -0.815194E-02
     12 -0.129226E-01  0.136116E-01 -0.377180E-03  0.100176E-01  0.138429E+00
     13 -0.125439E+00  0.102230E-02 -0.514023E-03 -0.216554E-03  0.149975E-02
     14  0.222625E-01 -0.181769E-03 -0.770973E-02 -0.935740E-04  0.136953E-03
     15 -0.129815E+00  0.216841E-03 -0.564159E-03  0.118822E-02  0.932049E-03
     16  0.126248E+00  0.148540E-02 -0.315255E-03 -0.891374E-03  0.103528E-02
     17  0.181127E-01  0.191587E-03  0.113957E-01 -0.108451E-03 -0.108062E-03
     18 -0.129874E+00 -0.915734E-03  0.534101E-03 -0.484861E-02 -0.234962E-03
     19  0.527414E-03 -0.463467E-04 -0.964579E-04  0.445605E-04 -0.229891E-04
     20  0.332276E-01 -0.625373E-03  0.234890E-03  0.126000E-03  0.635334E-03
     21  0.797152E-02 -0.220498E-03  0.273410E-03  0.403935E-04  0.230016E-03
               11            12            13            14            15 
     11  0.228896E-01
     12 -0.488605E-02  0.137756E+00
     13  0.643427E-03  0.885599E-03  0.277607E+00
     14  0.113854E-01 -0.140737E-03 -0.225284E-01  0.302182E-01
     15  0.500773E-03 -0.485033E-02  0.136797E+00 -0.138686E-01  0.136650E+00
     16  0.223322E-03  0.214218E-03 -0.151843E-01 -0.155377E-02  0.133234E-01
     17 -0.772164E-02 -0.992095E-04  0.212816E-02  0.186274E-02 -0.213470E-02
     18 -0.558259E-03  0.118817E-02 -0.133864E-01 -0.169203E-02  0.959872E-02
     19  0.105371E-03 -0.399787E-04 -0.244110E-04  0.313500E-02  0.572382E-03
     20  0.215336E-03  0.126703E-03 -0.517420E-03 -0.827520E-02 -0.446097E-03
     21  0.268607E-03  0.407723E-04 -0.245070E-03 -0.589529E-03  0.206820E-03
               16            17            18            19            20 
     16  0.278993E+00
     17  0.142134E-01  0.289063E-01
     18 -0.137325E+00 -0.932917E-02  0.136712E+00
     19 -0.118873E-03 -0.340099E-02 -0.586405E-03  0.304244E-02
     20  0.242553E-03 -0.820647E-02 -0.433819E-03 -0.195224E-03 -0.982834E-02
     21  0.225752E-03 -0.602638E-03  0.207216E-03 -0.747211E-04 -0.470384E-02
               21 
     21  0.235097E-02
--
 Force constants in Cartesian coordinates: 
                1             2             3             4             5 
      1  0.649411E+00
      2 -0.895578E-02  0.115217E+00
      3 -0.243312E-03 -0.963192E-02  0.823288E+00
      4 -0.113833E+00  0.112852E-02  0.639378E-03  0.647690E+00
      5  0.113304E-02 -0.465541E-01  0.397708E-01 -0.963244E-02  0.700358E-01
      6  0.143008E-03  0.831920E-02 -0.524838E+00 -0.138781E-02 -0.755048E-01
      7 -0.272518E+00  0.549140E-03  0.127826E+00  0.446815E-02  0.600831E-03
      8 -0.286184E-04 -0.364323E-01  0.115081E-02  0.680064E-03  0.602987E-02
