          30
 BABS3                           -6.9999999999999994E-005
 BABS2                            3.0000000000000001E-005
 AABS2                            2.2000000000000001E-004
 BABS1                           -6.9999999999999994E-005
 AABS1                           -2.5000000000000001E-004
 A3                               4.1900000000000001E-003
 A4                              -7.7999999999999999E-004
 D3                              -3.3669999999999999E-002
 D4                              -4.0999999999999999E-004
 R21                             -1.1509999999999999E-002
 R22                             -1.8000000000000001E-004
 R23                              2.9999999999999997E-004
 R24                             -1.7000000000000001E-004
 R25                              1.7400000000000000E-003
 R26                             -4.4999999999999999E-004
 A22                              3.4600000000000000E-003
 A23                              1.6800000000000001E-003
 A24                              1.2500000000000000E-003
 A25                             -6.5100000000000002E-003
 A26                              6.4999999999999997E-004
 D23                              3.5900000000000001E-002
 D25                             -1.4999999999999999E-004
 D26                             -1.2999999999999999E-003
 D24                             -3.2000000000000003E-004
 A2                               4.7400000000000003E-003
 R4                               1.3500000000000001E-003
 R3                              -1.0399999999999999E-003
 R2                              -7.2999999999999996E-004
 R1                              -1.3630000000000000E-002
 RTS                              4.2759999999999999E-002
