          12
 6                               -3.8813559999999999E-003  -1.5806305999999999E-002  -3.8884509999999998E-003
 8                                2.9175400000000003E-004   1.7559500000000000E-003  -6.5546400000000002E-004
 1                               -5.7223599999999995E-004   1.8859780000000000E-003   8.7675000000000003E-005
 1                                1.6872059999999999E-003   1.7460460000000000E-003   1.7869000000000001E-004
 1                                2.3743300000000000E-004  -3.5247000000000002E-004  -2.5130999999999998E-004
 6                                3.9196680000000003E-003   1.8349133000000000E-002   1.0075937000000000E-002
 6                               -4.5134999999999999E-004  -2.9447660000000001E-003  -3.0356390000000001E-003
 1                                2.8365999999999999E-005  -2.9913689999999998E-003  -1.0554029999999999E-003
 1                               -1.4096450000000000E-003  -2.5498010000000000E-003  -1.1280830000000000E-003
 1                               -1.7240800000000001E-004   2.5148199999999998E-004   8.4756000000000000E-005
 1                                9.4957000000000006E-005   3.8756499999999998E-004  -3.6116900000000000E-004
 1                                2.2761100000000001E-004   2.6855700000000000E-004  -5.1539000000000002E-005
