          18
 R1                              -3.0000000000000001E-005
 R2                              -1.0000000000000001E-005
 R3                              -1.0000000000000001E-005
 A2                              -3.0000000000000001E-005
 A3                              -2.0000000000000002E-005
 D3                               1.7000000000000001E-004
 R21                             -3.0000000000000001E-005
 R22                             -1.0000000000000001E-005
 R23                             -1.0000000000000001E-005
 A22                             -3.0000000000000001E-005
 A23                             -3.0000000000000001E-005
 D23                             -1.8000000000000001E-004
 ANG2                             0.0000000000000000     
 DH3                             -2.0000000000000002E-005
 DH2                              0.0000000000000000     
 DH1                              0.0000000000000000     
 ANG1                             0.0000000000000000     
 BB                               8.0689999999999998E-002
